ID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,ClassName,Namespace,Property,DefaultValue,RecommendedValue,Operator,Severity,Level 1,Exeption
2.3.1.1,Security Options,Accounts: Block Microsoft accounts,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,NoConnectedUser,,,,0,3,=,Low,True,False
2.3.1.3,Security Options,Accounts: Limit local account use of blank passwords to console logon only,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,LimitBlankPasswordUse,,,,1,1,=,Medium,True,False
2.3.2.1,Security Options,Audit: Force audit policy subcategory settings to override audit policy category settings,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,SCENoApplyLegacyAuditPolicy,,,,1,1,=,Low,True,False
2.3.2.2,Security Options,Audit: Shut down system immediately if unable to log security audits,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\Lsa,CrashOnAuditFail,,,,0,0,=,Low,True,False
2.3.4.1,Security Options,Devices: Prevent users from installing printer drivers,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\Print\Providers\LanMan Print Services\Servers,AddPrinterDrivers,,,,0,1,=,Medium,True,False
2.3.6.1,Security Options,Domain member: Digitally encrypt or sign secure channel data (always),Registry,,HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters,RequireSignOrSeal,,,,1,1,=,Medium,True,False
2.3.6.2,Security Options,Domain member: Digitally encrypt secure channel data (when possible),Registry,,HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters,SealSecureChannel,,,,1,1,=,Medium,True,False
2.3.6.3,Security Options,Domain member: Digitally sign secure channel data (when possible),Registry,,HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters,SignSecureChannel,,,,1,1,=,Medium,True,False
2.3.6.4,Security Options,Domain member: Disable machine account password changes,Registry,,HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters,DisablePasswordChange,,,,0,0,=,Medium,True,False
2.3.6.5,Security Options,Domain member: Maximum machine account password age,Registry,,HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters,MaximumPasswordAge,,,,30,30,<=!0,Medium,True,False
2.3.6.6,Security Options,Domain member: Require strong (Windows 2000 or later) session key,Registry,,HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters,RequireStrongKey,,,,1,1,=,Medium,True,False
2.3.7.1,Security Options,Interactive logon: Don't display username at sign-in,Registry,,HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System,DontDisplayUserName,,,,0,1,=,Low,True,False
2.3.7.2,Security Options,Interactive logon: Do not require CTRL+ALT+DEL,Registry,,HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System,DisableCAD,,,,1,0,=,Low,True,False
2.3.7.3,Security Options,Interactive logon: Machine inactivity limit,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,InactivityTimeoutSecs,,,,900,900,<=!0,Medium,True,False
2.3.7.4,Security Options,Interactive logon: Message text for users attempting to log on,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,LegalNoticeText,,,,,,!=,Low,True,False
2.3.7.5,Security Options,Interactive logon: Message title for users attempting to log on,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,LegalNoticeCaption,,,,,,!=,Low,True,False
2.3.7.8,Security Options,Interactive logon: Require Domain Controller Authentication to unlock workstation (Member),Registry,,HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon,ForceUnlockLogon,,,,0,1,=,Medium,True,False
2.3.7.9,Security Options,Interactive logon: Smart card removal behavior,Registry,,HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon,ScRemoveOption,,,,0,1,=,Medium,True,False
2.3.8.1,Security Options,Microsoft network client: Digitally sign communications (always),Registry,,HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters,RequireSecuritySignature,,,,0,1,=,Medium,True,False
2.3.8.2,Security Options,Microsoft network client: Digitally sign communications (if server agrees),Registry,,HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters,EnableSecuritySignature,,,,1,1,=,Medium,True,False
2.3.8.3,Security Options,Microsoft network client: Send unencrypted password to third-party SMB servers,Registry,,HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters,EnablePlainTextPassword,,,,0,0,=,Medium,True,False
2.3.9.1,Security Options,Microsoft network server: Amount of idle time required before suspending session,Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters,AutoDisconnect,,,,15,15,<=,Medium,True,False
2.3.9.2,Security Options,Microsoft network server: Digitally sign communications (always),Registry,,HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters,RequireSecuritySignature,,,,0,1,=,Medium,True,False
2.3.9.3,Security Options,Microsoft network server: Digitally sign communications (if client agrees),Registry,,HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters,EnableSecuritySignature,,,,0,1,=,Medium,True,False
2.3.9.4,Security Options,Microsoft network server: Disconnect clients when logon hours expire,Registry,,HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters,enableforcedlogoff,,,,1,1,=,Medium,True,False
2.3.9.5,Security Options,Microsoft network server: Server SPN target name validation level (Member),Registry,,HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters,SMBServerNameHardeningLevel,,,,0,1,>=,Medium,True,False
2.3.10.2,Security Options,Network access: Do not allow anonymous enumeration of SAM accounts (Member),Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,RestrictAnonymousSAM,,,,1,1,=,Medium,True,False
2.3.10.3,Security Options,Network access: Do not allow anonymous enumeration of SAM accounts and shares (Member),Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,RestrictAnonymous,,,,0,1,=,Medium,True,False
2.3.10.5,Security Options,Network access: Let Everyone permissions apply to anonymous users,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,EveryoneIncludesAnonymous,,,,0,0,=,Medium,True,False
2.3.10.8,Security Options,Network access: Remotely accessible registry paths,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedExactPaths,Machine,,,,System\CurrentControlSet\Control\ProductOptions System\CurrentControlSet\Control\Server Applications Software\Microsoft\Windows NT\CurrentVersion,System\CurrentControlSet\Control\ProductOptions,,,True,False
2.3.10.9,Security Options,Network access: Remotely accessible registry paths and sub-paths,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedPaths,Machine,,,,System\CurrentControlSet\Control\Print\Printers System\CurrentControlSet\Services\Eventlog Software\Microsoft\OLAP Server Software\Microsoft\Windows NT\CurrentVersion\Print Software\Microsoft\Windows NT\CurrentVersion\Windows System\CurrentControlSet\Control\ContentIndex System\CurrentControlSet\Control\Terminal Server System\CurrentControlSet\Control\Terminal Server\UserConfig System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration Software\Microsoft\Windows NT\CurrentVersion\Perflib System\CurrentControlSet\Services\SysmonLog,System\CurrentControlSet\Control\Print\Printers,,,True,False
2.3.10.10,Security Options,Network access: Restrict anonymous access to Named Pipes and Shares,Registry,,HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters,RestrictNullSessAccess,,,,1,1,=,Medium,True,False
2.3.10.11,Security Options,Network access: Restrict clients allowed to make remote calls to SAM (Member),Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,RestrictRemoteSAM,,,,,O:BAG:BAD:(A,,,True,False
2.3.10.13,Security Options,Network access: Sharing and security model for local accounts,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,ForceGuest,,,,0,0,=,Medium,True,False
2.3.11.1,Security Options,Network security: Allow Local System to use computer identity for NTLM,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,UseMachineId,,,,0,1,=,Medium,True,False
2.3.11.2,Security Options,Network security: Allow LocalSystem NULL session fallback,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0,allownullsessionfallback,,,,0,0,=,Medium,True,False
2.3.11.3,Security Options,Network security: Allow PKU2U authentication requests to this computer to use online identities,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\pku2u,AllowOnlineID,,,,,0,=,Medium,True,False
2.3.11.4,Security Options,Network security: Configure encryption types allowed for Kerberos,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters,SupportedEncryptionTypes,,,,2147483644,2147483640,<=,Medium,True,False
2.3.11.5,Security Options,Network security: Do not store LAN Manager hash value on next password change,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,NoLMHash,,,,1,1,=,High,True,False
2.3.11.7,Security Options,Network security: LAN Manager authentication level,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,LmCompatibilityLevel,,,,3,5,=,Medium,True,False
2.3.11.8,Security Options,Network security: LDAP client signing requirements,Registry,,HKLM:\System\CurrentControlSet\Services\LDAP,LDAPClientIntegrity,,,,1,1,>=,Medium,True,False
2.3.11.9,Security Options,Network security: Minimum session security for NTLM SSP based (including secure RPC) clients,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0,NTLMMinClientSec,,,,536870912,537395200,=,Medium,True,False
2.3.11.10,Security Options,Network security: Minimum session security for NTLM SSP based (including secure RPC) servers,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0,NTLMMinServerSec,,,,536870912,537395200,=,Medium,True,False
2.3.11.11,Security Options,Network security: Restrict NTLM: Audit Incoming NTLM Traffic,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0,AuditReceivingNTLMTraffic,,,,0,2,=,Medium,True,False
2.3.11.13,Security Options,Network security: Restrict NTLM: Outgoing NTLM traffic to remote servers,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0,RestrictSendingNTLMTraffic,,,,0,1,>=,Medium,True,False
2.3.13.1,Security Options,Shutdown: Allow system to be shut down without having to log on,Registry,,HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System,ShutdownWithoutLogon,,,,1,0,=,Medium,True,False
2.3.15.1,Security Options,System objects: Require case insensitivity for non-Windows subsystem,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel,ObCaseInsensitive,,,,1,1,=,Medium,True,False
2.3.15.2,Security Options,System objects: Strengthen default permissions of internal system objects (e.g. Symbolic Links),Registry,,HKLM:\System\CurrentControlSet\Control\Session Manager,ProtectionMode,,,,1,1,=,Medium,True,False
2.3.17.1,Security Options,User Account Control: Admin Approval Mode for the Built-in Administrator account,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,FilterAdministratorToken,,,,0,1,=,Medium,True,False
2.3.17.2,Security Options,User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,ConsentPromptBehaviorAdmin,,,,5,2,=,Medium,True,False
2.3.17.3,Security Options,User Account Control: Behavior of the elevation prompt for standard users,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,ConsentPromptBehaviorUser,,,,0,0,=,Medium,True,False
2.3.17.4,Security Options,User Account Control: Detect application installations and prompt for elevation,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,EnableInstallerDetection,,,,1,1,=,Medium,True,False
2.3.17.5,Security Options,User Account Control: Only elevate UIAccess applications that are installed in secure locations,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,EnableSecureUIAPaths,,,,1,1,=,Medium,True,False
2.3.17.6,Security Options,User Account Control: Run all administrators in Admin Approval Mode,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,EnableLUA,,,,1,1,=,Medium,True,False
2.3.17.7,Security Options,User Account Control: Switch to the secure desktop when prompting for elevation,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,PromptOnSecureDesktop,,,,1,1,=,Medium,True,False
2.3.17.8,Security Options,User Account Control: Virtualize file and registry write failures to per-user locations,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,EnableVirtualization,,,,1,1,=,Medium,True,False
"9.1.1,Windows Firewall,""EnableFirewall (Domain Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile,EnableFirewall,,,,0,1,=,Medium,True,False"
"9.1.2,Windows Firewall,""Inbound Connections (Domain Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile,DefaultInboundAction,,,,1,1,=,Medium,True,False"
"9.1.3,Windows Firewall,""Display a notification (Domain Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile,DisableNotifications,,,,0,1,=,Low,True,False"
"9.1.4,Windows Firewall,""Name of log file (Domain Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging,LogFilePath,,,,%SystemRoot%\System32\logfiles\firewall\pfirewall.log,%SystemRoot%\System32\logfiles\firewall\domainfw.log,=,Low,True,False"
"9.1.5,Windows Firewall,""Log size limit (Domain Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging,LogFileSize,,,,4096,16384,>=,Medium,True,False"
"9.1.6,Windows Firewall,""Log dropped packets (Domain Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging,LogDroppedPackets,,,,0,1,=,Medium,True,False"
"9.1.7,Windows Firewall,""Log successful connections (Domain Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging,LogSuccessfulConnections,,,,0,1,=,Low,True,False"
"9.2.1,Windows Firewall,""EnableFirewall (Private Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile,EnableFirewall,,,,0,1,=,Medium,True,False"
"9.2.2,Windows Firewall,""Inbound Connections (Private Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile,DefaultInboundAction,,,,1,1,=,Medium,True,False"
"9.2.3,Windows Firewall,""Display a notification (Private Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile,DisableNotifications,,,,0,1,=,Low,True,False"
"9.2.4,Windows Firewall,""Name of log file (Private Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging,LogFilePath,,,,%SystemRoot%\System32\logfiles\firewall\pfirewall.log,%SystemRoot%\System32\logfiles\firewall\privatefw.log,=,Low,True,False"
"9.2.5,Windows Firewall,""Log size limit (Private Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging,LogFileSize,,,,4096,16384,>=,Medium,True,False"
"9.2.6,Windows Firewall,""Log dropped packets (Private Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging,LogDroppedPackets,,,,0,1,=,Medium,True,False"
"9.2.7,Windows Firewall,""Log successful connections (Private Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging,LogSuccessfulConnections,,,,0,1,=,Low,True,False"
"9.3.1,Windows Firewall,""EnableFirewall (Public Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,EnableFirewall,,,,0,1,=,Medium,True,False"
"9.3.2,Windows Firewall,""Inbound Connections (Public Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,DefaultInboundAction,,,,1,1,=,Medium,True,False"
"9.3.3,Windows Firewall,""Display a notification (Public Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,DisableNotifications,,,,0,1,=,Low,True,False"
"9.3.4,Windows Firewall,""Apply local firewall rules (Public Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,AllowLocalPolicyMerge,,,,0,0,=,Low,True,False"
"9.3.5,Windows Firewall,""Apply local connection security rules (Public Profile, Policy)"",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,AllowLocalIPsecPolicyMerge,,,,0,0,=,Low,True,False"
